AGE,CREDIT_CARD,CURR_BAL,LOAN_STATUS
42,0,5050.788333,0
32,0,14277.27,0
35,0,9636.025,0
28,0,10621.155,0
32,0,24919.65667,0
32,0,29938.46,0
32,0,8732.06,0
32,0,11095.24333,0
40,0,12044.51833,0
33,0,4793.166,0
47,0,2166.101667,0
30,0,5610.77,0
34,0,28459.92833,0
43,0,2879.04,0
49,0,19697.01,0
47,0,9541.706667,0
42,0,36505.185,0
31,0,1668.145,0
27,0,2002.483333,0
26,0,6148.303333,0
29,0,6589.236667,0
29,0,2024.675,0
30,0,2740.156667,0
26,0,159.2,0
26,0,3593.676,0
25,0,4856.826667,0
25,1,4856.826667,1
26,0,755.864,0
25,0,11265.09333,0
25,0,1884.906667,0
24,0,3101.348333,0
26,0,3183.861667,0
24,0,6102.15,0
24,0,2687.033333,0
25,0,6259.958333,0
24,0,4140.123333,0
27,0,14918.356,0
30,0,3948.536,0
24,0,5851.925,0
26,0,3364.39,0
28,0,12933.675,0
27,0,9880.436667,0
26,0,5806.588333,0
27,0,25136.01667,0
23,0,12517.225,0
35,0,7072.073333,0
23,0,5526.831667,0
24,0,22881.49333,0
30,0,19387.31667,0
33,0,14761.125,0
29,0,10792.215,0
27,0,13540.89833,0
28,0,8462.406667,0
27,0,9410.35,0
25,0,572.39,0
29,0,2655.606667,0
30,0,7290.045,0
26,0,8303.718333,0
43,0,8832.2425,0
22,0,4808.275,0
24,0,5234.82,0
24,0,187.0883333,0
25,0,7601.033333,0
24,0,13746.16667,0
30,0,1887.553333,0
25,0,2768.516667,0
25,0,19343.612,0
24,0,7397.416667,0
23,0,6275.875,0
27,0,13919.808,0
25,0,828.055,0
26,0,15213.94,0
25,0,61.4,0
37,0,3970.178333,0
28,0,14691.448,0
26,0,6185.902,0
26,0,851.378,0
27,0,3281.405,0
25,0,27366.03167,0
24,1,11371.556,1
24,0,6925.328333,0
25,0,4931.465,0
31,0,7467.161667,0
24,0,9822.81,0
39,0,14825.465,0
25,0,66.80666667,0
23,0,9523.505,0
24,0,16170.27333,0
21,0,7816.61,0
27,0,64243.81,0
23,0,8019.79,0
23,0,4125.633333,0
26,0,32751.635,0
23,0,7988.875,0
25,0,2380.711667,0
27,0,219.4583333,0
